Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,3/2/2023,23475.4668,23647.01953,23739.13867,23245.02148
BTC,3/3/2023,22362.67969,23476.63281,23479.34766,22213.23828
BTC,3/4/2023,22353.34961,22362.92383,22405.17773,22198.98047
BTC,3/5/2023,22435.51367,22354.14453,22613.68555,22307.14258
BTC,3/6/2023,22429.75781,22436.81641,22584.29297,22331.31445
BTC,3/7/2023,22219.76953,22428.32227,22527.41797,22011.26172
BTC,3/8/2023,21718.08008,22216.44141,22268.89648,21708.05078
BTC,3/9/2023,20363.02148,21720.08008,21802.7168,20210.30664
BTC,3/10/2023,20187.24414,20367.00195,20370.5957,19628.25391
BTC,3/11/2023,20632.41016,20187.87695,20792.52539,20068.66016
BTC,3/12/2023,22163.94922,20628.0293,22185.03125,20448.80664
BTC,3/13/2023,24197.5332,22156.40625,24550.83789,21918.19922
BTC,3/14/2023,24746.07422,24201.76563,26514.7168,24081.18359
BTC,3/15/2023,24375.96094,24770.92578,25240.61523,23964.91016
BTC,3/16/2023,25052.78906,24373.45703,25190.32617,24225.11133
BTC,3/17/2023,27423.92969,25055.12305,27787.8125,24955.16992
BTC,3/18/2023,26965.87891,27448.11719,27725.95313,26636.26172
BTC,3/19/2023,28038.67578,26969.50391,28440.56055,26907.7168
BTC,3/20/2023,27767.23633,28041.60156,28527.72461,27242.88086
BTC,3/21/2023,28175.81641,27768.39258,28439.5625,27439.64648
BTC,3/22/2023,27307.4375,28158.7207,28803.33594,26759.99609
BTC,3/23/2023,28333.97266,27301.95703,28729.84375,27183.36328
BTC,3/24/2023,27493.28516,28324.11133,28388.4375,27039.26563
BTC,3/25/2023,27494.70703,27487.33789,27791.82617,27196.23438
BTC,3/26/2023,27994.33008,27495.52344,28178.14453,27445.04688
BTC,3/27/2023,27139.88867,27994.06836,28037.92578,26606.68945
BTC,3/28/2023,27268.13086,27132.88867,27460.71875,26677.81836
BTC,3/29/2023,28348.44141,27267.03125,28619.54297,27259.66211
BTC,3/30/2023,28033.5625,28350.14063,29159.90234,27720.16016
BTC,3/31/2023,28478.48438,28032.26172,28639.89648,27583.71484
BTC,4/1/2023,28411.03516,28473.33203,28802.45703,28297.17188
BTC,4/2/2023,28199.30859,28462.8457,28518.95898,27884.08789
BTC,4/3/2023,27790.2207,28183.08008,28475.62305,27276.7207
BTC,4/4/2023,28168.08984,27795.27344,28433.74219,27681.30469
BTC,4/5/2023,28177.98438,28169.72656,28739.23828,27843.76367
BTC,4/6/2023,28044.14063,28175.22656,28178.38477,27738.75977
BTC,4/7/2023,27925.85938,28038.9668,28111.59375,27794.03125
BTC,4/8/2023,27947.79492,27920.51367,28159.86328,27883.38672
BTC,4/9/2023,28333.05078,27952.36719,28532.83008,27828.48047
BTC,4/10/2023,29652.98047,28336.02734,29771.46484,28189.27148
BTC,4/11/2023,30165.54492,29651.87695,30301.47266,29614.33008
